matchUp,winningChance,build,difficulty,comment
Pantheon,Lose,Tank,Easy,you lose hard early game but mid/late game you outscaled him so even if its a losing matchup dont worry.
Poppy,Win,Doesnt matter,Easy,you might kill her she might kill you doesnt matter since you hard outscale her
Quinn,Win,Tank,Hard,look to cancel her E with your R or Q (hard to do with your Q) and then stay in lane and farm up when she starts roaming
Renekton,Win,Tank,Medium,just a stronger laner he will beat you even if you outplay him so just farm up and outscale. 
Riven,Lose,Tank,Hard,cant win trades when her E is up if you stay far back then the only way she reaches you is by using her e and maybe 2 Q charges then you can look to trade back with her
Rumble,Win,Doesnt matter,Medium,early lvls he wins but lvl 5 and up you win just slow in fully charge Q
Ryze,Win,Lethality,Easy,poke him down with fast Q charges and eventually all in him with E into R
Sett,Skill,Tank,Hard,make it a short lane (minions at your turret not his) he wins short and long trades so just look to poke him when he cant fight you back
Shen,SKill,Doesnt matter,Medium,early game you lose so just care lvl 5 and up you win never let him get autos off on you if he uses his e to engage just tank his burst and then turn with slow into fully charged and you should win when he roams just stay top and farm up
Singed,Win,Lethality,Easy,only way you lose is if he flings you into turret as long as that doenst happen you can just facetank him and brute force him down only time he has a chance is when he ulties so care then
Swain,Win,Lethality,Easy,poke him down with E into Q finnish him off with E into R
Sylas,Win,Lethality,Medium,poke him down with fast Q but if he is in a position to go in on you then save your Q for when he engages and after his 2nd E just slow into fully charge him 
Teemo,Win,Lethality,Easy,everytime your Q is up just walk up and poke him repeat untill he is dead at lvl 6 E into R and the little rat is dead
Tryndamere,Win,Tank,Hard,make it a short lane (minions at your turret not his) never charge your Q unless youre from max range or his E is down. You win by kiting if he uses his e to engage just slow him move out of melee range and get a good Q off
Urgot,Win,Doesnt matter,Medium,never let him get on-top of you cancel his E with your Q by releasing it as soon as he starts moving not as soon as he uses the abillity (then he will get cced but will still go through with his E)
Vayne,Skill,Lethality,Hard,you win by getting fully charges from a bush/fog of war or if she uses her Q then you have a small window to E into R her. if you cant do any of these things then youre going to end up losing
Volibear,Lose,Lethality,medium,Make sure to dodge his E always make sure to not let him run at you with his Q with your slows you should be able to outrange him and just wait out his Q then channel your Q on him
Vladimir,Win,Lethality,Medium,you dont win the poke game so look for all ins whenever his pool is down let minions push into your turret lvl 6 so you have good all in potential and he cant just hide under his turret
Wukong,Lose,Tank,Hard,since his W is now a minidash you need to bait out both his E and W before slowing into Qing him. only take short trades
Yasuo,Lose,Doesnt matter,Hard,fight him only when no ally minions are near and when you do slow him into max range Q so he is not able to dash on you easy to E into R him so go for it if you can kill him
Yorick,Win,Doesnt matter,Medium,make sure to dodge his E and W make sure to farm his ghouls since they give you hp. whenever off cooldown just walk up E + Q then back off. Dont be afraid to die since you always kill him in the passive. 
Zac,Win,Tank,Easy,use E into Q combo whenever his Q + E is on cd make sure when you fight him to deny him his blobs.
YONE ,LOSE,Lethality,hard,instantly use E into Q when he uses his E unless he has a tornado then you need to dodge tornado first.
